,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,0
12,2008-12-27,Perth,14.9,28.8,0.0,9.4,13.2,SW,39.0,S,SSW,9.0,19.0,56.0,36.0,1013.2,1011.3,0.0,0.0,20.2,28.4,0
13,2015-06-30,Richmond,5.7,16.8,0.0,,,S,15.0,WSW,SSW,7.0,4.0,98.0,75.0,1029.8,1024.9,8.0,,7.2,15.7,1
14,2013-07-10,Nuriootpa,0.8,13.1,0.2,1.0,8.9,NNE,20.0,NE,NNE,9.0,11.0,72.0,52.0,1030.2,1028.0,0.0,4.0,6.8,12.6,0
15,2014-01-22,Townsville,25.8,33.0,0.0,10.8,12.3,ENE,39.0,E,NE,19.0,33.0,58.0,53.0,1010.7,1008.4,4.0,2.0,30.0,32.2,0
16,2016-03-01,Mildura,14.2,36.9,0.0,8.0,10.8,NE,22.0,ENE,WSW,9.0,9.0,34.0,10.0,1017.6,1014.6,0.0,3.0,22.2,35.0,0
17,2010-03-20,Walpole,11.3,23.5,1.2,,,SE,33.0,SSE,SE,7.0,22.0,97.0,65.0,1019.0,1018.4,,,18.1,22.6,0
18,2015-08-04,Canberra,-5.3,8.9,0.0,,,NW,48.0,,N,0.0,31.0,86.0,50.0,1023.1,1018.7,,,0.1,7.4,0
19,2015-11-12,Townsville,24.2,31.4,0.0,11.2,11.2,ENE,39.0,E,ENE,17.0,28.0,58.0,55.0,1016.6,1013.6,7.0,4.0,28.6,29.1,0
20,2010-02-27,MountGambier,16.2,23.3,0.0,8.0,2.7,SSE,57.0,SSE,SSE,28.0,41.0,69.0,63.0,1020.8,1020.9,7.0,7.0,17.6,19.3,0
21,2013-07-19,Nhil,11.0,14.5,9.0,,,W,57.0,NW,WNW,30.0,28.0,83.0,87.0,1004.1,1004.8,,,11.9,11.7,1
22,2016-08-24,Williamtown,11.3,14.8,2.3,,,WSW,39.0,NW,W,13.0,7.0,96.0,81.0,1012.8,1006.7,8.0,8.0,11.8,14.7,1
23,2011-10-17,Adelaide,8.1,24.1,0.0,10.8,12.3,ENE,28.0,ENE,NNE,17.0,13.0,49.0,28.0,1032.3,1028.2,,,14.9,22.5,0
24,2009-01-29,Walpole,15.6,22.7,0.0,,,ESE,28.0,SSE,SSE,11.0,15.0,58.0,49.0,1010.2,1010.7,,,20.0,21.9,0
25,2013-07-30,Melbourne,10.3,16.2,2.2,2.2,7.6,W,35.0,W,SSE,17.0,13.0,80.0,44.0,1022.0,1022.1,3.0,4.0,11.1,15.6,0
26,2009-03-08,Albury,11.0,30.2,0.0,,,SSE,24.0,E,SSE,7.0,11.0,54.0,20.0,1017.0,1014.7,,,17.6,28.8,0
27,2016-10-21,Cairns,23.1,30.3,0.0,9.8,,SE,43.0,SE,ESE,26.0,31.0,64.0,54.0,1017.2,1014.2,3.0,,28.0,29.0,0
28,2010-08-04,MountGambier,7.6,11.9,15.0,0.8,3.5,SSW,50.0,S,SW,15.0,30.0,97.0,70.0,1017.0,1016.8,8.0,5.0,7.7,8.7,1
29,2008-11-18,Brisbane,17.0,22.1,14.6,3.4,0.0,E,22.0,SE,ESE,7.0,11.0,91.0,84.0,1016.8,1013.7,8.0,8.0,18.2,20.1,1
30,2015-07-29,SydneyAirport,7.5,17.0,0.0,,8.5,NW,28.0,NNW,ESE,13.0,15.0,58.0,52.0,1034.9,1030.2,3.0,1.0,11.7,15.9,0
31,2014-10-29,Albany,15.6,19.1,0.4,4.2,1.5,,,WNW,WNW,15.0,13.0,84.0,73.0,1016.7,1015.2,8.0,8.0,17.5,18.0,0
32,2015-03-10,Dartmoor,4.5,22.1,0.2,3.8,9.2,SSW,31.0,,WNW,0.0,7.0,100.0,43.0,1019.4,1017.2,,,8.0,21.3,0
33,2010-01-06,Brisbane,21.8,29.3,0.0,4.8,3.3,ENE,24.0,E,ENE,11.0,11.0,81.0,64.0,1015.5,1013.1,8.0,7.0,24.7,28.3,0
34,2012-05-13,Moree,5.0,17.7,0.0,3.8,10.4,W,46.0,SSW,WSW,22.0,30.0,44.0,26.0,1020.4,1017.7,0.0,0.0,12.1,17.1,0
35,2013-09-13,Ballarat,1.1,10.2,0.2,,,NNE,50.0,NNE,NNE,35.0,28.0,59.0,69.0,1016.4,1013.8,,7.0,7.7,8.1,1
36,2015-02-14,Wollongong,19.1,25.7,8.0,,,NE,41.0,NNE,NE,13.0,31.0,78.0,75.0,1023.2,1019.7,,5.0,23.8,24.1,1
37,2015-02-11,Uluru,22.8,42.6,0.0,,,SE,44.0,ESE,S,15.0,33.0,15.0,9.0,1013.8,1008.8,,4.0,34.0,40.8,0
38,2016-09-10,Perth,12.3,20.5,0.0,1.4,4.0,SW,30.0,NNE,SW,9.0,15.0,82.0,64.0,1021.3,1018.8,2.0,7.0,16.0,17.7,0
39,2011-12-10,Penrith,16.4,26.4,1.6,,,ENE,24.0,,N,0.0,9.0,97.0,54.0,,,,,19.1,26.2,0
40,2010-01-31,Darwin,23.1,32.0,2.6,3.6,9.4,WSW,52.0,WSW,W,15.0,24.0,74.0,71.0,1008.0,1005.0,7.0,7.0,28.7,31.3,1
41,2017-03-09,AliceSprings,21.3,36.3,0.0,6.8,,E,31.0,SW,N,9.0,11.0,48.0,20.0,1012.9,1008.4,7.0,7.0,25.9,34.2,0
42,2013-09-06,Cobar,14.6,30.0,0.0,,,NW,31.0,N,NNW,11.0,11.0,29.0,14.0,1027.6,1022.8,,,20.3,28.6,0
43,2013-04-30,Wollongong,17.3,21.1,0.0,,,SW,35.0,SW,S,20.0,20.0,85.0,83.0,1026.1,1022.7,2.0,8.0,17.4,18.6,0
44,2014-05-07,PerthAirport,17.6,21.6,3.8,2.4,0.0,NW,43.0,N,N,19.0,19.0,91.0,77.0,1008.5,1005.4,8.0,8.0,18.7,21.3,1
45,2011-02-01,Richmond,18.6,40.0,0.0,9.7,,NNW,44.0,,NNW,0.0,28.0,70.0,20.0,1011.9,1006.7,,,24.6,39.2,0
46,2011-12-06,Penrith,12.5,19.7,0.2,,,SSW,22.0,SSE,NW,11.0,6.0,67.0,60.0,,,,,15.8,17.7,0
47,2012-01-12,Canberra,1.6,22.7,0.4,6.4,,SSW,39.0,S,NNW,22.0,9.0,41.0,32.0,1015.1,1013.4,1.0,2.0,12.2,19.4,0
48,2016-01-22,NorahHead,21.8,28.2,14.8,,,N,39.0,NNW,SE,2.0,11.0,97.0,87.0,1010.5,1006.4,,,23.9,26.3,1
49,2011-11-07,Cobar,19.7,35.3,0.0,8.6,,NE,39.0,NNE,WNW,13.0,20.0,65.0,25.0,1012.3,1008.5,7.0,7.0,23.8,34.7,1
50,2013-06-09,Launceston,4.6,15.1,2.6,,,NNW,30.0,NNW,NW,6.0,13.0,97.0,78.0,1023.4,1021.0,,,11.9,13.8,0
51,2015-02-19,Sydney,22.2,27.6,0.2,9.6,5.1,ENE,39.0,ENE,E,11.0,17.0,88.0,63.0,1021.8,1019.4,7.0,5.0,23.0,25.8,0
52,2014-12-12,PerthAirport,16.6,26.6,0.0,11.8,11.1,SW,54.0,SSW,WSW,30.0,35.0,64.0,50.0,1012.9,1012.6,6.0,0.0,22.7,24.4,0
53,2017-04-28,BadgerysCreek,7.4,20.3,0.0,,,SW,24.0,SW,WSW,15.0,6.0,56.0,40.0,1023.1,1020.3,,,14.2,19.9,0
54,2010-07-03,Richmond,2.1,16.1,1.0,,,SW,39.0,NNE,SSW,6.0,20.0,92.0,36.0,1026.7,1026.5,,,8.3,15.6,0
55,2011-05-25,Mildura,4.2,13.1,0.2,1.6,4.6,SSW,35.0,SSW,SSW,15.0,20.0,87.0,61.0,1022.4,1021.4,0.0,7.0,7.9,12.2,0
56,2009-09-06,Albury,1.6,16.6,0.0,,,NE,37.0,SE,NE,9.0,20.0,79.0,47.0,1018.4,1011.4,,,8.3,15.4,0
57,2010-03-24,Witchcliffe,17.9,25.3,0.4,,,SSW,31.0,WNW,SW,13.0,13.0,66.0,77.0,1015.9,1016.0,,,22.9,22.1,0
58,2015-10-21,Launceston,11.5,20.4,0.2,,,SSE,44.0,SE,SE,4.0,22.0,82.0,40.0,,,8.0,,16.1,19.8,0
59,2013-08-06,Sydney,11.9,23.9,0.0,5.6,8.7,NNW,52.0,NW,WNW,20.0,17.0,48.0,30.0,1011.9,1008.0,5.0,5.0,16.4,22.1,0
60,2014-12-16,Portland,6.8,19.1,0.0,8.0,10.2,WSW,78.0,NW,W,31.0,33.0,81.0,82.0,997.8,997.7,4.0,8.0,15.0,14.3,1
61,2010-12-11,Wollongong,15.7,26.4,0.0,,,NW,35.0,SW,N,20.0,9.0,46.0,73.0,1007.3,1003.5,,,21.7,21.3,0
62,2014-02-22,Adelaide,13.5,23.0,0.0,,9.6,SSE,39.0,SSE,S,9.0,19.0,63.0,41.0,1026.6,1023.9,,,15.7,22.4,0
63,2015-03-17,PearceRAAF,15.9,29.4,0.2,,10.0,WNW,44.0,NNW,WNW,17.0,30.0,72.0,59.0,1010.3,1007.8,3.0,6.0,23.4,26.2,1
64,2009-05-01,Launceston,3.7,16.5,4.6,0.0,,NNW,50.0,NNW,WNW,11.0,17.0,96.0,46.0,1016.8,1017.6,,,12.8,16.1,0
65,2016-01-11,Darwin,24.0,33.9,20.0,2.8,12.0,WNW,28.0,SW,WNW,9.0,19.0,70.0,45.0,1013.2,1010.5,1.0,2.0,29.8,33.4,0
66,2009-02-22,NorahHead,21.1,25.8,0.0,,,NE,30.0,SE,E,13.0,17.0,71.0,66.0,1017.9,1017.3,,,23.9,24.9,0
67,2014-02-03,Moree,18.0,35.6,0.0,11.2,13.0,E,39.0,ENE,E,17.0,20.0,47.0,23.0,1013.4,1009.4,1.0,1.0,24.0,32.9,0
68,2009-06-30,AliceSprings,16.8,31.2,0.0,7.6,10.3,NW,57.0,NW,NW,35.0,35.0,28.0,22.0,1012.4,1010.5,5.0,1.0,23.2,30.6,0
69,2017-05-12,Sydney,12.5,19.6,0.4,2.6,1.7,WNW,26.0,W,ESE,19.0,17.0,78.0,71.0,1027.0,1024.5,7.0,7.0,14.1,18.5,1
70,2014-09-06,Richmond,9.9,16.8,0.2,,,ESE,30.0,ESE,S,9.0,13.0,83.0,73.0,1029.9,1028.2,8.0,8.0,13.4,15.6,1
71,2012-04-21,Adelaide,18.7,22.6,,,,N,31.0,NW,N,9.0,13.0,41.0,81.0,1012.3,1011.2,,,21.3,18.3,1
72,2011-12-03,Penrith,10.2,25.7,0.2,,,SE,24.0,NNE,NE,4.0,9.0,50.0,38.0,,,,,18.5,24.9,0
73,2015-06-01,MountGambier,1.4,12.1,2.8,1.8,7.7,SSW,41.0,WNW,S,7.0,13.0,83.0,65.0,1027.1,1027.4,5.0,5.0,7.5,9.8,0
74,2010-06-12,Albury,0.0,13.3,0.0,,,W,22.0,,S,0.0,4.0,95.0,51.0,1025.4,1024.3,5.0,,3.3,12.3,0
75,2014-10-28,Albury,6.4,19.9,1.0,,,W,41.0,WNW,WSW,15.0,22.0,62.0,47.0,1015.2,1013.8,,8.0,11.9,18.6,0
76,2014-04-18,SalmonGums,9.8,24.5,0.0,,,NE,30.0,ENE,ENE,19.0,11.0,59.0,45.0,,,,,18.9,23.5,0
77,2016-08-29,Williamtown,4.0,20.0,0.0,12.2,,SE,30.0,NW,SE,17.0,20.0,62.0,51.0,1027.7,1024.7,2.0,8.0,11.7,18.0,0
78,2014-10-06,Moree,14.2,32.3,0.0,7.2,11.7,NE,33.0,NE,NNE,19.0,17.0,52.0,19.0,1018.8,1013.4,0.0,1.0,21.8,31.3,0
79,2015-10-24,Adelaide,12.5,33.1,0.0,,,NW,20.0,NNE,NNW,6.0,7.0,33.0,16.0,1018.9,1014.4,,,21.1,31.9,0
80,2013-03-11,NorahHead,20.2,26.7,0.4,,,ESE,31.0,S,ENE,2.0,11.0,86.0,64.0,1020.4,1019.6,,,22.7,25.8,0
81,2013-08-13,Nuriootpa,9.2,15.6,2.2,4.2,8.3,W,57.0,WNW,WNW,24.0,24.0,92.0,66.0,1015.6,1012.3,7.0,6.0,10.7,14.7,1
82,2010-05-09,Albury,5.7,19.5,0.0,,,ENE,17.0,E,SSE,7.0,4.0,99.0,54.0,1023.4,1019.6,8.0,1.0,9.2,18.6,0
83,2010-09-15,Moree,10.0,19.9,0.0,5.4,9.5,SW,50.0,SW,SSW,28.0,24.0,69.0,48.0,1016.7,1015.2,3.0,5.0,15.0,19.4,0
84,2014-04-08,Melbourne,16.6,22.0,,5.4,0.0,N,59.0,N,NNE,39.0,11.0,54.0,86.0,1020.1,1019.1,8.0,8.0,20.1,17.6,1
85,2011-01-15,Albury,19.9,31.4,13.8,,,WSW,24.0,SE,SSE,4.0,11.0,83.0,34.0,1009.4,1007.4,1.0,,22.3,29.6,0
86,2009-10-21,SalmonGums,4.2,26.4,0.0,,,E,43.0,ENE,ENE,24.0,22.0,47.0,29.0,,,,,17.5,24.4,0
87,2011-07-04,Perth,1.3,15.4,0.2,1.6,7.6,SE,20.0,,S,0.0,6.0,93.0,54.0,1028.8,1027.2,1.0,5.0,7.4,14.4,0
88,2016-04-17,Katherine,23.2,36.5,0.0,8.0,,SE,33.0,ENE,E,9.0,13.0,63.0,,1013.1,1008.7,0.0,,29.5,,0
89,2016-12-27,Dartmoor,14.9,23.1,0.2,,,ESE,31.0,ESE,ESE,11.0,13.0,80.0,95.0,1009.4,1006.2,,,18.6,22.2,1
90,2015-04-13,Darwin,25.2,33.0,0.0,6.4,8.6,NE,52.0,ENE,NNW,7.0,11.0,70.0,65.0,1012.7,1008.8,1.0,4.0,30.4,30.3,1
91,2013-06-27,NorahHead,16.3,19.2,0.0,,,E,41.0,ESE,ESE,30.0,24.0,73.0,69.0,1021.9,1020.1,,,17.7,17.6,1
92,2010-06-12,BadgerysCreek,1.9,16.2,0.0,,,SSW,31.0,WSW,S,7.0,17.0,85.0,39.0,1022.6,1022.0,,,8.6,15.1,0
93,2010-11-19,Albury,12.1,25.5,0.0,,,SE,26.0,SSE,S,17.0,11.0,56.0,39.0,1020.9,1019.8,,,17.1,24.2,0
94,2016-12-26,MelbourneAirport,25.5,30.0,0.0,16.0,2.4,N,59.0,N,S,37.0,17.0,35.0,54.0,1008.0,1011.0,7.0,8.0,28.6,21.3,1
95,2009-05-03,MountGinini,1.4,9.9,0.0,,,WNW,22.0,WSW,W,9.0,13.0,81.0,62.0,,,,,5.3,9.2,0
96,2014-11-16,PearceRAAF,11.0,33.5,0.0,,12.2,SW,35.0,NE,WSW,6.0,19.0,31.0,19.0,1013.4,1009.8,,,24.5,31.6,0
97,2010-12-09,Adelaide,16.1,24.5,0.0,4.4,11.1,NW,46.0,WSW,W,15.0,24.0,72.0,41.0,1012.0,1011.2,,,19.1,23.7,0
98,2009-01-20,PearceRAAF,15.7,31.8,0.0,,13.0,SW,46.0,ESE,SSW,24.0,20.0,50.0,24.0,1018.0,1014.2,0.0,1.0,18.8,31.2,0
99,2013-08-01,SalmonGums,9.0,20.6,0.0,,,WSW,28.0,WNW,SW,17.0,13.0,82.0,57.0,,,,,12.8,17.9,0
100,2009-05-16,Witchcliffe,1.5,22.6,0.0,,,SW,19.0,SSE,W,4.0,11.0,99.0,34.0,1022.7,1020.2,,,8.6,21.8,0
101,2010-03-18,Newcastle,14.4,27.8,0.0,,,,,,SE,0.0,7.0,87.0,58.0,,,1.0,1.0,18.0,26.5,0
102,2014-11-25,NorahHead,21.5,25.5,9.4,,,S,57.0,W,SSE,7.0,31.0,72.0,78.0,1012.3,1016.1,,,24.3,20.8,0
103,2011-01-13,Walpole,18.1,35.1,0.0,,,NNW,46.0,N,WSW,17.0,28.0,43.0,48.0,996.3,995.1,,,27.6,26.9,0
104,2011-10-10,Launceston,0.3,11.9,0.6,,,,,NW,NNW,4.0,28.0,82.0,83.0,1005.5,999.5,,,5.3,11.1,0
105,2016-07-27,Walpole,11.1,15.8,0.0,,,NW,28.0,N,,2.0,0.0,79.0,72.0,1026.6,1023.2,,,13.6,15.2,0
106,2017-02-25,Brisbane,20.1,31.9,0.0,10.6,12.2,E,31.0,SSE,ESE,9.0,15.0,50.0,47.0,1017.0,1013.1,2.0,2.0,27.3,30.1,0
107,2010-07-03,MelbourneAirport,6.2,12.7,1.0,1.2,1.0,W,31.0,W,SW,19.0,19.0,74.0,66.0,1030.4,1030.3,5.0,7.0,9.1,12.4,0
108,2014-10-31,Portland,7.0,30.6,0.0,3.4,8.1,W,65.0,N,NNW,19.0,33.0,75.0,22.0,1005.3,999.0,7.0,4.0,14.0,29.4,1
109,2015-03-16,Albany,18.2,22.6,0.4,4.4,5.8,,,,,,0.0,86.0,79.0,1008.7,1007.4,6.0,6.0,21.0,21.9,1
110,2009-08-08,PerthAirport,12.8,21.7,0.0,0.8,3.0,WSW,37.0,E,W,4.0,17.0,83.0,74.0,1015.0,1012.3,8.0,7.0,14.7,20.3,1
111,2017-01-16,Mildura,13.1,38.0,0.0,,,NNE,20.0,ESE,W,9.0,9.0,40.0,11.0,1014.6,1011.0,,0.0,24.0,35.6,0
112,2013-10-08,Nuriootpa,6.4,25.9,0.2,4.8,11.8,N,48.0,NNE,N,13.0,17.0,73.0,28.0,1019.4,1016.6,0.0,0.0,13.6,24.1,0
113,2009-10-10,Williamtown,9.8,18.6,20.0,3.4,6.4,SSE,33.0,W,ESE,11.0,26.0,86.0,74.0,1028.8,1026.3,7.0,6.0,13.0,16.7,1
114,2009-05-04,Watsonia,6.4,15.4,0.0,1.4,0.7,S,28.0,NE,SSW,6.0,15.0,94.0,89.0,1030.8,1030.1,7.0,7.0,9.7,14.1,0
115,2016-05-04,NorahHead,15.7,25.1,0.0,,,SE,24.0,NW,ESE,9.0,9.0,54.0,59.0,1015.1,1014.0,,,20.2,23.0,0
116,2015-01-27,Uluru,23.8,33.0,0.0,,,NE,43.0,E,ENE,28.0,24.0,19.0,21.0,1010.2,1007.1,3.0,8.0,28.4,31.4,0
117,2009-05-17,Adelaide,13.7,16.1,13.8,,0.3,NNW,13.0,,NNW,0.0,4.0,92.0,90.0,1023.7,1021.4,,,14.7,15.6,1
118,2009-06-29,Williamtown,9.7,19.1,0.0,3.0,9.5,WNW,48.0,WNW,WNW,33.0,28.0,62.0,44.0,1013.2,1011.2,1.0,,13.0,18.8,0
119,2015-05-28,Cobar,12.6,21.4,3.6,6.6,,NNE,30.0,NNE,N,13.0,15.0,87.0,49.0,1023.1,1019.5,7.0,7.0,15.1,20.9,1
120,2012-01-06,Walpole,,21.7,0.6,,,,69.0,,,33.0,33.0,,,1003.1,1004.9,,,20.0,20.8,1
121,2010-03-18,Richmond,11.7,29.4,0.0,4.2,,ENE,22.0,,E,0.0,9.0,92.0,33.0,1027.3,1023.2,,,15.7,28.5,0
122,2014-11-21,Portland,11.4,18.6,8.0,0.4,10.2,W,39.0,WSW,W,22.0,22.0,69.0,63.0,1011.9,1011.3,8.0,,14.4,17.9,1
123,2014-12-14,Darwin,29.0,33.9,0.0,8.8,1.5,WNW,39.0,W,W,20.0,15.0,71.0,70.0,1009.9,1007.4,7.0,7.0,31.0,30.7,1
124,2013-04-25,Nuriootpa,10.3,20.7,0.8,1.6,8.5,W,44.0,W,WSW,19.0,26.0,93.0,56.0,1025.0,1023.3,7.0,6.0,14.8,19.7,0
125,2010-01-06,Witchcliffe,14.7,30.7,0.0,,,WNW,37.0,N,W,13.0,17.0,53.0,63.0,1003.8,1006.1,,,25.9,23.8,0
126,2012-01-01,NorahHead,16.6,26.0,0.0,,,NE,39.0,N,NE,11.0,24.0,63.0,59.0,1018.3,1015.9,,,22.4,25.3,0
127,2017-04-17,Perth,15.4,21.8,0.0,5.0,2.5,SSW,24.0,S,SSW,13.0,11.0,74.0,59.0,1015.3,1013.2,5.0,8.0,17.8,21.4,0
128,2017-06-21,Wollongong,8.3,17.4,0.0,,,SSW,44.0,SW,S,19.0,26.0,62.0,62.0,1026.2,1026.0,3.0,,14.6,17.0,0
129,2016-08-15,Newcastle,,20.8,0.0,,,,,,,0.0,,83.0,,,,0.0,,13.0,,0
130,2010-09-15,BadgerysCreek,9.7,21.8,16.8,,,WNW,48.0,SW,W,26.0,30.0,66.0,24.0,1011.2,1010.1,,,16.4,20.8,0
131,2010-03-26,Mildura,15.0,35.2,0.0,6.4,10.8,NW,33.0,NNE,WNW,11.0,9.0,53.0,12.0,1018.3,1015.6,1.0,4.0,19.6,34.5,0
132,2014-04-17,Walpole,14.8,22.0,0.8,,,SW,37.0,WNW,SSW,11.0,22.0,91.0,75.0,1020.4,1021.3,,,17.4,18.8,0
133,2010-09-28,PerthAirport,10.8,27.3,0.0,3.2,11.3,E,56.0,ENE,E,24.0,17.0,46.0,24.0,1022.5,1018.5,0.0,0.0,16.8,26.8,0
134,2010-04-23,Tuggeranong,6.2,25.1,0.0,,,N,33.0,,WNW,0.0,17.0,75.0,42.0,1022.5,1016.6,,,14.6,24.4,1
135,2016-05-19,Penrith,6.6,23.8,0.0,,,NW,31.0,NNW,WNW,4.0,24.0,71.0,30.0,,,,,12.0,22.8,0
136,2009-12-20,Adelaide,13.0,29.8,0.0,,11.5,W,24.0,N,SW,7.0,11.0,39.0,26.0,1020.0,1016.1,,,19.9,27.2,0
137,2015-11-01,Canberra,8.9,25.3,2.2,,,W,57.0,NW,NNW,9.0,13.0,78.0,60.0,1015.7,1010.7,,8.0,18.1,20.8,1
138,2015-11-06,MountGambier,12.4,16.5,1.6,1.8,3.7,WSW,39.0,SW,SW,17.0,26.0,96.0,64.0,1013.3,1014.2,8.0,7.0,12.6,15.0,0
139,2017-03-12,Sale,15.4,29.7,0.0,,,WNW,46.0,SW,SSE,11.0,17.0,86.0,51.0,1006.2,1000.1,8.0,1.0,20.2,27.9,0
140,2009-11-22,Darwin,26.8,34.4,0.0,8.4,9.6,NW,35.0,NW,WNW,13.0,28.0,61.0,47.0,1009.3,1005.9,6.0,7.0,30.7,33.7,0
141,2015-01-12,Nuriootpa,15.6,25.5,0.0,5.0,0.0,ESE,31.0,ENE,ENE,17.0,17.0,83.0,84.0,1008.3,1005.3,7.0,8.0,21.3,23.7,1
142,2011-07-09,Nuriootpa,5.2,11.5,2.2,1.0,2.3,W,35.0,WNW,W,13.0,17.0,100.0,79.0,1027.1,1025.0,8.0,6.0,7.7,11.0,1
143,2014-02-07,Richmond,10.3,32.8,0.0,4.0,,E,35.0,E,N,2.0,4.0,70.0,24.0,1017.7,1013.8,,,18.7,30.8,0
144,2012-08-24,Penrith,10.5,19.4,4.8,,,WNW,56.0,N,WNW,20.0,28.0,46.0,31.0,,,,,13.6,18.6,0
145,2011-01-20,Canberra,13.1,28.2,0.0,5.4,7.5,ENE,35.0,E,NNW,11.0,9.0,74.0,43.0,1013.6,1011.6,8.0,4.0,18.9,26.5,0
146,2009-07-29,Dartmoor,8.1,14.1,6.2,1.4,7.2,SW,28.0,NW,W,13.0,19.0,99.0,87.0,1024.8,1024.1,,,9.7,13.3,1
147,2013-03-09,Nhil,20.5,36.5,0.0,,,SW,43.0,NNE,N,11.0,20.0,33.0,17.0,1015.1,1012.8,,,26.1,34.4,0
148,2011-09-27,Ballarat,9.4,18.0,0.6,,,NE,67.0,NNE,NNE,30.0,35.0,94.0,62.0,1015.8,1010.5,8.0,,9.6,17.1,0
149,2014-07-24,SalmonGums,4.7,15.7,3.2,,,W,41.0,W,SW,19.0,19.0,83.0,55.0,,,,,10.5,14.9,0
150,2012-03-17,Canberra,14.4,24.1,3.4,2.8,7.2,E,46.0,SE,N,11.0,11.0,85.0,47.0,1014.9,1013.8,7.0,2.0,15.1,22.7,1
151,2009-01-13,MountGinini,9.0,24.0,0.2,,,,,NW,WNW,20.0,20.0,87.0,48.0,,,,,15.5,22.6,0
152,2013-11-23,NorahHead,18.3,22.8,9.4,,,NNE,44.0,NNW,NE,9.0,19.0,92.0,83.0,1006.0,1004.4,,,19.9,18.6,1
153,2013-09-25,NorfolkIsland,15.8,19.9,0.0,5.0,7.9,W,48.0,W,WNW,30.0,30.0,59.0,70.0,1014.7,1013.3,1.0,8.0,18.1,18.8,0
154,2009-06-25,NorfolkIsland,16.0,20.3,0.0,3.8,4.0,NE,48.0,NE,NNE,20.0,19.0,58.0,73.0,1023.2,1020.2,8.0,7.0,18.0,19.1,0
155,2013-04-14,Mildura,16.3,28.8,0.0,6.2,5.1,WNW,39.0,NNW,W,11.0,20.0,28.0,27.0,1011.2,1009.0,7.0,7.0,23.0,27.1,0
156,2010-05-19,Bendigo,0.5,17.9,0.0,1.2,,N,15.0,,NNE,0.0,6.0,77.0,40.0,1024.0,1021.5,1.0,3.0,9.4,16.9,0
157,2011-05-01,Moree,10.7,26.7,0.0,6.0,10.1,SW,35.0,E,SSW,9.0,17.0,59.0,24.0,1017.4,1013.0,,,18.6,26.2,0
158,2010-03-05,Cairns,26.4,33.8,0.0,7.4,10.7,NE,30.0,SE,ENE,11.0,17.0,57.0,58.0,1009.7,1006.7,2.0,1.0,30.8,31.7,0
159,2013-11-20,Witchcliffe,7.5,25.6,0.0,,,ENE,44.0,ENE,E,19.0,20.0,44.0,28.0,1016.5,1010.5,,,18.1,24.3,0
160,2015-08-09,Watsonia,5.9,12.6,0.0,1.4,0.1,N,33.0,N,N,7.0,13.0,82.0,68.0,1021.9,1017.8,7.0,7.0,9.3,12.3,0
